trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.5, 'e': 0.95}",20,0,-99.36247583173687,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.95}",30,0,-124.51929549548272,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.06219397492984,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.95}",20,0,-102.97318100584505,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.95}",20,2,-36.16551985021915,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.95}",25,0,-150.36962676254905,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.95}",30,6,-116.19391047014014,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.95}",25,0,-119.00836316041125,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.95}",25,0,-31.098903018496205,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.55654494960676,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.95}",25,0,-116.20105164323274,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.95}",25,0,-170.07801059627187,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.95}",20,8,-5.002886735857437,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.95}",25,0,-113.74738763387154,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
